windowSize,testMuMetric1_gA_1CC,testMuMetric2_gA_gU_1CC,testMuMetric4_gA_3CC_Voting
0.5,63.4083450539147,63.1504922644163,68.8232536333802
1,68.3962264150943,70.6132075471698,76.2264150943396
1.5,71.7967072297781,73.2999284180386,80.386542591267
2,74.3713733075435,76.3056092843327,82.6885880077369
2.5,75.3958587088916,77.2228989037759,84.4092570036541
3,79.9120234604106,80.6451612903226,87.8299120234604
3.5,80.2083333333333,83.3333333333333,88.5416666666667
4,80.7228915662651,83.9357429718875,89.1566265060241
4.5,82.9545454545455,86.3636363636364,92.0454545454545
5,81.9338422391858,88.0407124681934,91.0941475826972
5.5,82.6704545454545,86.9318181818182,92.0454545454545
6,84.9529780564263,90.282131661442,92.1630094043887
6.5,84.3003412969283,87.0307167235495,93.1740614334471
7,86.6171003717472,88.8475836431227,91.0780669144982
7.5,86.2348178137652,89.8785425101215,94.331983805668
8,87.3362445414847,92.1397379912664,94.7598253275109
8.5,86.1751152073733,93.0875576036866,92.6267281105991
9,87.0646766169154,94.0298507462687,95.0248756218905
9.5,88.2352941176471,91.9786096256685,94.1176470588235
10,88.5714285714286,91.4285714285714,93.7142857142857
10.5,89.7590361445783,93.9759036144578,93.9759036144578
11,89.8089171974522,95.5414012738854,92.9936305732484
11.5,89.9328859060403,95.9731543624161,94.6308724832215
12,88.5714285714286,95.7142857142857,95
12.5,87.8787878787879,93.9393939393939,95.4545454545455
13,91.3385826771654,96.0629921259843,95.2755905511811
13.5,91.0569105691057,97.5609756097561,95.9349593495935
14,90.3508771929825,95.6140350877193,95.6140350877193
14.5,89.0909090909091,94.5454545454545,95.4545454545455
15,89.4230769230769,95.1923076923077,94.2307692307692
15.5,93.0693069306931,95.049504950495,96.039603960396
16,94.8453608247423,96.9072164948454,96.9072164948454
16.5,92.3076923076923,97.8021978021978,97.8021978021978
17,96.5909090909091,97.7272727272727,97.7272727272727
17.5,93.75,97.5,98.75
18,96.1538461538462,97.4358974358974,97.4358974358974
18.5,94.8717948717949,96.1538461538462,98.7179487179487
19,93.5064935064935,98.7012987012987,98.7012987012987
19.5,96,98.6666666666667,98.6666666666667
20,97.1830985915493,98.5915492957747,98.5915492957747
20.5,93.8461538461538,98.4615384615385,98.4615384615385
21,93.5483870967742,96.7741935483871,98.3870967741936
21.5,93.1034482758621,98.2758620689655,98.2758620689655
22,94.4444444444444,98.1481481481482,98.1481481481482
22.5,96.1538461538462,98.0769230769231,98.0769230769231
23,94.2307692307692,98.0769230769231,98.0769230769231
23.5,94.2307692307692,98.0769230769231,98.0769230769231
24,94.2307692307692,98.0769230769231,98.0769230769231
24.5,94.2307692307692,98.0769230769231,98.0769230769231
25,94.2307692307692,100,98.0769230769231
25.5,94.1176470588235,100,98.0392156862745
26,93.8775510204082,100,97.9591836734694
26.5,97.7777777777778,100,100
27,97.7777777777778,100,100
27.5,100,100,100
28,100,100,100
28.5,100,100,100
29,96.875,100,100
29.5,92.8571428571429,100,100
30,96.1538461538462,100,100
30.5,96.1538461538462,100,100
31,96.1538461538462,100,100
31.5,96.1538461538462,100,100
32,96.1538461538462,100,100
32.5,96.1538461538462,100,100
33,96.1538461538462,100,100
33.5,96.1538461538462,100,100
34,96.1538461538462,100,100
34.5,96.1538461538462,100,100
35,96.1538461538462,100,100
35.5,96.1538461538462,100,100
36,96.1538461538462,100,100
36.5,96.1538461538462,100,100
37,96.1538461538462,100,100
37.5,96.1538461538462,100,100
38,96,100,100
38.5,96,100,100
39,95.6521739130435,100,100
39.5,95.6521739130435,100,100
40,100,100,100
